key,ko,comment
k.appName,"버스온다","앱의 공식 이름"
common.ui.button.cancel,"취소","공용: 취소 버튼"
common.ui.button.save,"저장","공용: 저장 버튼"
common.ui.button.next,"다음","공용: 다음 버튼"
common.ui.button.previous,"이전","공용: 이전 버튼"
common.ui.button.retry,"다시 시도","공용: 재시도 버튼"
home.ui.title,"홈","홈 화면: 내비게이션 타이틀"
home.ui.button.edit,"편집","홈 화면: 편집 버튼"
home.ui.placeholder.search,"버스 노선, 정류장 검색","홈 화면: 검색창 플레이스홀더"
home.ui.empty.title,"저장된 내역이 없습니다.","홈 화면: 즐겨찾기 비어있을 때 제목"
home.ui.empty.subtitle,"자주 이용하는 버스를 추가해 주세요.","홈 화면: 즐겨찾기 비어있을 때 부제목"
home.ui.empty.button.add,"나의 버스 추가하기","홈 화면: 즐겨찾기 비어있을 때 추가 버튼"
onboarding.ui.button.startCTA,"알아보기","온보딩 시작: 알아보기 버튼"
onboarding.ui.title.start,"는 저시력자를 위한
버스 안내 앱입니다.","온보딩 시작: 앱 설명 (앱 이름 뒤에 붙음)"
onboarding.ui.title.page1,"탑승하려는 버스를 즐겨찾기
하면 버스 인식을 시작할 수 있
습니다.","온보딩 1페이지 문구"
onboarding.ui.title.page2,"버스 인식 카메라로 버스 번호
를 확인할 수 있습니다.
 ","온보딩 2페이지 문구"
onboarding.ui.title.page3,"즐겨찾기한 버스는 홈화면에
서 빠르게 버스인식을 할 수 있
습니다.","온보딩 3페이지 문구"
onboarding.ui.title.permissions,"권한 요청","온보딩 권한: 내비게이션 타이틀"
onboarding.ui.header.permissions,"시작하기 전에","온보딩 권한: 상단 헤더"
onboarding.ui.subtitle.permissions,"더 나은 앱 사용을 위해
동의가 필요한 권한을 확인해주세요.","온보딩 권한: 부제목"
onboarding.ui.title.requiredAccess,"필수 접근 권한","온보딩 권한: 필수 권한 섹션 타이틀"
onboarding.ui.label.camera,"카메라","온보딩 권한: 카메라 레이블"
onboarding.ui.description.camera,"버스 번호 인식을 위해 사용","온보딩 권한: 카메라 사용 이유"
onboarding.ui.label.location,"위치 정보","온보딩 권한: 위치 정보 레이블"
onboarding.ui.description.location,"위치 기반 정류장 안내를 위해 사용","온보딩 권한: 위치 정보 사용 이유"
onboarding.ui.label.microphone,"마이크","온보딩 권한: 마이크 레이블"
onboarding.ui.description.microphone,"음성 검색 기능을 위해 사용","온보딩 권한: 마이크 사용 이유"
onboarding.ui.label.disclaimer,"위 권한 사용에 동의하지 않는 경우
앱 사용이 제한됩니다.","온보딩 권한: 미동의 시 안내"
onboarding.ui.button.startApp,"시작하기","온보딩 권한: 앱 시작 버튼"
search.ui.placeholder,"검색...","검색 화면: 검색창 플레이스홀더"
search.ui.title.nearbyStops,"주변 정류장","검색 화면: 주변 정류장 섹션 타이틀"
search.ui.empty.noStops,"표시할 정류장이 없습니다.","검색 화면: 주변 정류장 없을 때"
search.ui.prefix.stopID,"ID: ","검색 결과: 정류장 ID 접두사"
busStation.ui.error.failedToLoad,"정류장 정보를 불러오지 못했습니다.","정류장 상세: 로드 실패 에러"
